yarn run v1.22.22
$ next dev
▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.55:3000
- Environments: .env.local
- Experiments (use with caution):
  · clientTraceMetadata

✓ Starting...
✓ Ready in 2.4s
 PUT /api/inngest 200 in 59ms (compile: 14ms, proxy.ts: 14ms, render: 31ms)
 PUT /api/inngest 200 in 63ms (compile: 16ms, proxy.ts: 14ms, render: 33ms)
 PUT /api/inngest 200 in 64ms (compile: 16ms, proxy.ts: 18ms, render: 30ms)
 PUT /api/inngest 200 in 53ms (compile: 15ms, proxy.ts: 8ms, render: 29ms)
 PUT /api/inngest 200 in 57ms (compile: 15ms, proxy.ts: 10ms, render: 32ms)
 PUT /api/inngest 200 in 64ms (compile: 15ms, proxy.ts: 15ms, render: 33ms)
 PUT /api/inngest 200 in 68ms (compile: 15ms, proxy.ts: 22ms, render: 31ms)
 PUT /api/inngest 200 in 64ms (compile: 16ms, proxy.ts: 18ms, render: 30ms)
 PUT /api/inngest 200 in 69ms (compile: 17ms, proxy.ts: 19ms, render: 33ms)
 POST /api/inngest?fnId=polaris-process-message&stepId=step 206 in 503ms (compile: 15ms, proxy.ts: 22ms, render: 465ms)
 PUT /api/inngest 200 in 63ms (compile: 14ms, proxy.ts: 18ms, render: 31ms)
 PUT /api/inngest 200 in 59ms (compile: 13ms, proxy.ts: 15ms, render: 31ms)
 PUT /api/inngest 200 in 62ms (compile: 16ms, proxy.ts: 13ms, render: 33ms)
 PUT /api/inngest 200 in 72ms (compile: 17ms, proxy.ts: 17ms, render: 38ms)
 PUT /api/inngest 200 in 59ms (compile: 17ms, proxy.ts: 12ms, render: 30ms)
 PUT /api/inngest 200 in 70ms (compile: 18ms, proxy.ts: 20ms, render: 32ms)
 PUT /api/inngest 200 in 74ms (compile: 18ms, proxy.ts: 22ms, render: 34ms)
 PUT /api/inngest 200 in 61ms (compile: 16ms, proxy.ts: 14ms, render: 30ms)
 PUT /api/inngest 200 in 64ms (compile: 15ms, proxy.ts: 16ms, render: 34ms)
 PUT /api/inngest 200 in 59ms (compile: 14ms, proxy.ts: 13ms, render: 33ms)
 PUT /api/inngest 200 in 56ms (compile: 12ms, proxy.ts: 12ms, render: 32ms)
 PUT /api/inngest 200 in 53ms (compile: 14ms, proxy.ts: 7ms, render: 31ms)
 PUT /api/inngest 200 in 53ms (compile: 15ms, proxy.ts: 7ms, render: 32ms)
 PUT /api/inngest 200 in 62ms (compile: 17ms, proxy.ts: 13ms, render: 31ms)
 PUT /api/inngest 200 in 62ms (compile: 16ms, proxy.ts: 12ms, render: 33ms)
 POST /api/inngest?fnId=polaris-process-message&stepId=step 206 in 426ms (compile: 15ms, proxy.ts: 14ms, render: 397ms)
 PUT /api/inngest 200 in 59ms (compile: 13ms, proxy.ts: 11ms, render: 35ms)
 PUT /api/inngest 200 in 57ms (compile: 15ms, proxy.ts: 13ms, render: 29ms)
 PUT /api/inngest 200 in 55ms (compile: 15ms, proxy.ts: 9ms, render: 32ms)
 PUT /api/inngest 200 in 62ms (compile: 16ms, proxy.ts: 12ms, render: 34ms)
 PUT /api/inngest 200 in 69ms (compile: 21ms, proxy.ts: 14ms, render: 35ms)
 PUT /api/inngest 200 in 57ms (compile: 15ms, proxy.ts: 10ms, render: 31ms)
 PUT /api/inngest 200 in 49ms (compile: 15ms, proxy.ts: 6ms, render: 28ms)
 PUT /api/inngest 200 in 55ms (compile: 16ms, proxy.ts: 7ms, render: 32ms)
 PUT /api/inngest 200 in 72ms (compile: 28ms, proxy.ts: 11ms, render: 33ms)
 PUT /api/inngest 200 in 79ms (compile: 16ms, proxy.ts: 17ms, render: 46ms)
 POST /api/messages/cancel 200 in 1246ms (compile: 614ms, proxy.ts: 16ms, render: 615ms)
 PUT /api/inngest 200 in 65ms (compile: 16ms, proxy.ts: 20ms, render: 30ms)
 PUT /api/inngest 200 in 65ms (compile: 16ms, proxy.ts: 19ms, render: 31ms)
 PUT /api/inngest 200 in 65ms (compile: 16ms, proxy.ts: 19ms, render: 29ms)
 PUT /api/inngest 200 in 57ms (compile: 16ms, proxy.ts: 11ms, render: 30ms)
 PUT /api/inngest 200 in 59ms (compile: 20ms, proxy.ts: 7ms, render: 32ms)
 PUT /api/inngest 200 in 64ms (compile: 15ms, proxy.ts: 17ms, render: 31ms)
 PUT /api/inngest 200 in 66ms (compile: 17ms, proxy.ts: 17ms, render: 31ms)
 PUT /api/inngest 200 in 66ms (compile: 16ms, proxy.ts: 19ms, render: 31ms)
 PUT /api/inngest 200 in 60ms (compile: 15ms, proxy.ts: 14ms, render: 30ms)
 PUT /api/inngest 200 in 50ms (compile: 16ms, proxy.ts: 7ms, render: 28ms)
 PUT /api/inngest 200 in 55ms (compile: 15ms, proxy.ts: 13ms, render: 28ms)
 PUT /api/inngest 200 in 66ms (compile: 16ms, proxy.ts: 19ms, render: 31ms)
 PUT /api/inngest 200 in 54ms (compile: 14ms, proxy.ts: 10ms, render: 30ms)
 PUT /api/inngest 200 in 69ms (compile: 18ms, proxy.ts: 22ms, render: 29ms)
 PUT /api/inngest 200 in 65ms (compile: 16ms, proxy.ts: 19ms, render: 29ms)
 PUT /api/inngest 200 in 65ms (compile: 16ms, proxy.ts: 15ms, render: 34ms)
 PUT /api/inngest 200 in 67ms (compile: 16ms, proxy.ts: 20ms, render: 31ms)
 PUT /api/inngest 200 in 57ms (compile: 16ms, proxy.ts: 10ms, render: 31ms)
 PUT /api/inngest 200 in 64ms (compile: 16ms, proxy.ts: 15ms, render: 33ms)
 PUT /api/inngest 200 in 64ms (compile: 17ms, proxy.ts: 14ms, render: 34ms)
 PUT /api/inngest 200 in 58ms (compile: 18ms, proxy.ts: 8ms, render: 32ms)
